SELECT Bike_stands, available_bikes, available_bike_stands, ID_station, Pluie, Temperature, Risque_neige, request_time FROM Station_dynamic NATURAL JOIN Station_static NATURAL JOIN Meteo WHERE ID_station = 5020 AND request_time BETWEEN 1401131865.282588 AND 1401287708.583986
SELECT Bike_stands, available_bikes, available_bike_stands, ID_station, Pluie, Temperature, Risque_neige, request_time FROM Station_dynamic NATURAL JOIN Station_static NATURAL JOIN Meteo WHERE ID_station = 5020 AND request_time BETWEEN 1401913296.0638773 AND 1402081178.83343
Criteres : Heure Minute Temperature Pluie
horodotage : 30.0
87
(21, 7, 13, 5020, 0.3, 284.7, u'FALSE', 1401131865.282588)
(21, 7, 14, 5020, 0.3, 284.7, u'FALSE', 1401133714.3617218)
(21, 6, 14, 5020, 0.3, 284.7, u'FALSE', 1401135514.3643277)
(21, 2, 17, 5020, 0.0, 283.0, u'FALSE', 1401137314.3668413)
(21, 4, 17, 5020, 0.0, 283.0, u'FALSE', 1401139114.3694534)
(21, 5, 15, 5020, 0.0, 283.0, u'FALSE', 1401140914.371986)
(21, 5, 16, 5020, 0.0, 283.0, u'FALSE', 1401142714.3744974)
(21, 5, 16, 5020, 0.0, 283.0, u'FALSE', 1401144514.3770611)
(21, 7, 14, 5020, 0.0, 283.0, u'FALSE', 1401146314.3795383)
(21, 5, 16, 5020, 0.0, 283.6, u'FALSE', 1401148114.3820822)
(21, 5, 16, 5020, 0.0, 283.6, u'FALSE', 1401149914.384683)
(21, 5, 16, 5020, 0.0, 283.6, u'FALSE', 1401151714.3873663)
(21, 5, 16, 5020, 0.0, 283.6, u'FALSE', 1401153514.3898053)
(21, 5, 16, 5020, 0.0, 283.6, u'FALSE', 1401155314.3922641)
(21, 6, 15, 5020, 0.0, 283.6, u'FALSE', 1401157114.3949578)
(21, 5, 16, 5020, 0.1, 285.8, u'FALSE', 1401158914.3973057)
(21, 5, 16, 5020, 0.1, 285.8, u'FALSE', 1401160714.3998907)
(21, 5, 16, 5020, 0.1, 285.8, u'FALSE', 1401162514.4022593)
(21, 5, 16, 5020, 0.1, 285.8, u'FALSE', 1401164314.4047973)
(21, 5, 16, 5020, 0.1, 285.8, u'FALSE', 1401166114.4072447)
(21, 8, 13, 5020, 0.1, 285.7, u'FALSE', 1401167935.8536127)
(21, 10, 11, 5020, 0.4, 288.4, u'FALSE', 1401169735.8560798)
(21, 10, 11, 5020, 0.4, 288.4, u'FALSE', 1401171535.8584623)
(21, 20, 1, 5020, 0.4, 288.4, u'FALSE', 1401173335.8609457)
(21, 19, 1, 5020, 0.4, 288.4, u'FALSE', 1401175135.8633173)
(21, 21, 0, 5020, 0.4, 288.4, u'FALSE', 1401176935.8663135)
(21, 21, 0, 5020, 0.4, 288.4, u'FALSE', 1401178735.8687625)
(21, 20, 1, 5020, 1.1, 289.0, u'FALSE', 1401180535.8711371)
(21, 20, 1, 5020, 1.1, 289.0, u'FALSE', 1401182335.8736656)
(21, 20, 1, 5020, 1.1, 289.0, u'FALSE', 1401184135.8762238)
(21, 21, 0, 5020, 1.1, 289.0, u'FALSE', 1401185935.8786597)
(21, 21, 0, 5020, 1.1, 289.0, u'FALSE', 1401187735.8812022)
(21, 19, 2, 5020, 1.1, 289.0, u'FALSE', 1401189535.8838127)
(21, 20, 1, 5020, 0.9, 291.1, u'FALSE', 1401191335.8860664)
(21, 21, 0, 5020, 0.9, 291.1, u'FALSE', 1401193135.8886096)
(21, 19, 1, 5020, 0.9, 291.1, u'FALSE', 1401194935.8910346)
(21, 21, 0, 5020, 0.9, 291.1, u'FALSE', 1401196735.8935761)
(21, 18, 2, 5020, 0.9, 291.1, u'FALSE', 1401198535.895979)
(21, 15, 5, 5020, 0.9, 291.1, u'FALSE', 1401200335.8984547)
(21, 19, 2, 5020, 0.2, 288.4, u'FALSE', 1401202150.381002)
(21, 5, 14, 5020, 0.2, 288.4, u'FALSE', 1401203950.382135)
(21, 8, 13, 5020, 0.2, 288.4, u'FALSE', 1401205750.383112)
(21, 8, 12, 5020, 0.2, 288.4, u'FALSE', 1401207550.384088)
(21, 7, 14, 5020, 0.2, 288.4, u'FALSE', 1401209350.385052)
(21, 7, 13, 5020, 0.2, 288.4, u'FALSE', 1401211150.385995)
(21, 9, 11, 5020, 0.0, 283.9, u'FALSE', 1401212950.386987)
(21, 9, 12, 5020, 0.0, 283.9, u'FALSE', 1401214750.387985)
(21, 14, 7, 5020, 0.0, 283.9, u'FALSE', 1401216550.388992)
(21, 13, 8, 5020, 0.0, 283.9, u'FALSE', 1401218350.390096)
(21, 20, 1, 5020, 0.1, 284.7, u'FALSE', 1401220156.10715)
(21, 21, 0, 5020, 0.1, 284.7, u'FALSE', 1401221956.10819)
(21, 17, 4, 5020, 0.0, 282.8, u'FALSE', 1401223756.109191)
(21, 11, 9, 5020, 0.0, 282.8, u'FALSE', 1401225661.711747)
(21, 11, 10, 5020, 0.0, 282.8, u'FALSE', 1401227461.712786)
(21, 12, 9, 5020, 0.0, 282.8, u'FALSE', 1401229261.713876)
(21, 13, 8, 5020, 0.0, 282.8, u'FALSE', 1401231061.714953)
(21, 6, 15, 5020, 0.0, 282.8, u'FALSE', 1401232861.715995)
(21, 7, 13, 5020, 0.0, 282.7, u'FALSE', 1401234661.717062)
(21, 10, 11, 5020, 0.0, 282.7, u'FALSE', 1401236461.718132)
(21, 9, 12, 5020, 0.0, 282.7, u'FALSE', 1401238261.719178)
(21, 6, 14, 5020, 0.0, 282.7, u'FALSE', 1401240061.72028)
(21, 7, 14, 5020, 0.0, 282.7, u'FALSE', 1401241861.721328)
(21, 7, 14, 5020, 0.0, 282.7, u'FALSE', 1401243661.722378)
(21, 7, 14, 5020, 0.0, 284.7, u'FALSE', 1401245461.723441)
(21, 7, 14, 5020, 0.0, 284.7, u'FALSE', 1401247261.724636)
(21, 7, 14, 5020, 0.0, 284.7, u'FALSE', 1401249061.725773)
(21, 7, 14, 5020, 0.0, 284.7, u'FALSE', 1401250861.726803)
(21, 7, 14, 5020, 0.0, 284.7, u'FALSE', 1401252661.727686)
(21, 8, 13, 5020, 0.0, 284.7, u'FALSE', 1401254461.728671)
(21, 10, 11, 5020, 0.1, 287.2, u'FALSE', 1401256261.729616)
(21, 17, 4, 5020, 0.1, 287.2, u'FALSE', 1401258061.730593)
(21, 21, 0, 5020, 0.1, 287.2, u'FALSE', 1401259861.73152)
(21, 21, 0, 5020, 0.1, 287.2, u'FALSE', 1401261661.732466)
(21, 20, 0, 5020, 0.1, 287.2, u'FALSE', 1401263461.733523)
(21, 20, 0, 5020, 0.1, 287.2, u'FALSE', 1401265261.734606)
(21, 19, 2, 5020, 0.3, 289.2, u'FALSE', 1401267061.73579)
(21, 20, 1, 5020, 0.3, 289.2, u'FALSE', 1401268861.736906)
(21, 21, 0, 5020, 0.4, 289.0, u'FALSE', 1401270682.806638)
(21, 18, 3, 5020, 0.4, 289.0, u'FALSE', 1401272482.807586)
(21, 21, 0, 5020, 0.4, 289.0, u'FALSE', 1401274282.808569)
(21, 19, 2, 5020, 0.4, 289.0, u'FALSE', 1401276082.809599)
(21, 20, 0, 5020, 0.3, 291.6, u'FALSE', 1401277882.810672)
(21, 20, 1, 5020, 0.3, 291.6, u'FALSE', 1401279682.811735)
(21, 20, 1, 5020, 0.3, 291.6, u'FALSE', 1401281482.81272)
(21, 20, 1, 5020, 0.3, 291.6, u'FALSE', 1401283282.813712)
(21, 16, 5, 5020, 0.5, 290.9, u'FALSE', 1401285188.58255)
(21, 18, 3, 5020, 0.5, 290.9, u'FALSE', 1401286988.583563)
93
(21, 4, 17, 5020, 0.0, 281.0, u'FALSE', 1401913296.0638773)
(21, 5, 16, 5020, 0.0, 279.9, u'FALSE', 1401915096.0669563)
(21, 1, 20, 5020, 0.0, 279.9, u'FALSE', 1401916896.0693693)
(21, 1, 20, 5020, 0.0, 279.9, u'FALSE', 1401918696.0719597)
(21, 3, 18, 5020, 0.0, 279.9, u'FALSE', 1401920496.0745058)
(21, 2, 19, 5020, 0.0, 279.9, u'FALSE', 1401922296.0771441)
(21, 2, 19, 5020, 0.0, 279.9, u'FALSE', 1401924096.079711)
(21, 3, 18, 5020, 0.0, 279.0, u'FALSE', 1401925896.0821414)
(21, 3, 18, 5020, 0.0, 279.0, u'FALSE', 1401927696.084654)
(21, 3, 18, 5020, 0.0, 279.0, u'FALSE', 1401929496.0872228)
(21, 2, 19, 5020, 0.0, 279.0, u'FALSE', 1401931296.0897453)
(21, 2, 19, 5020, 0.0, 279.0, u'FALSE', 1401933096.0923302)
(21, 2, 19, 5020, 0.0, 279.0, u'FALSE', 1401934896.09506)
(21, 2, 19, 5020, 0.0, 283.1, u'FALSE', 1401936696.0976195)
(21, 2, 19, 5020, 0.0, 283.1, u'FALSE', 1401938496.1002853)
(21, 2, 19, 5020, 0.0, 283.1, u'FALSE', 1401940296.102738)
(21, 2, 19, 5020, 0.0, 283.1, u'FALSE', 1401942096.1052246)
(21, 2, 19, 5020, 0.0, 283.1, u'FALSE', 1401943896.1077104)
(21, 3, 18, 5020, 0.0, 283.1, u'FALSE', 1401945696.1102395)
(21, 6, 15, 5020, 0.0, 289.9, u'FALSE', 1401947609.1588724)
(21, 7, 14, 5020, 0.0, 289.9, u'FALSE', 1401949409.1612012)
(21, 11, 10, 5020, 0.0, 289.9, u'FALSE', 1401951209.1636355)
(21, 20, 1, 5020, 0.0, 289.9, u'FALSE', 1401953009.1659262)
(21, 21, 0, 5020, 0.0, 289.9, u'FALSE', 1401954809.1682167)
(21, 20, 1, 5020, 0.0, 289.9, u'FALSE', 1401956609.170817)
(21, 21, 0, 5020, 0.0, 293.2, u'FALSE', 1401958409.173162)
(21, 20, 0, 5020, 0.0, 293.2, u'FALSE', 1401960209.1757662)
(21, 20, 0, 5020, 0.0, 293.2, u'FALSE', 1401962009.1782253)
(21, 15, 5, 5020, 0.0, 293.2, u'FALSE', 1401963809.1807244)
(21, 20, 0, 5020, 0.0, 293.2, u'FALSE', 1401965609.1830983)
(21, 19, 1, 5020, 0.0, 293.2, u'FALSE', 1401967409.185537)
(21, 20, 0, 5020, 0.0, 293.5, u'FALSE', 1401969209.1880407)
(21, 19, 1, 5020, 0.0, 293.5, u'FALSE', 1401971009.190575)
(21, 18, 2, 5020, 0.0, 293.5, u'FALSE', 1401972809.1929812)
(21, 18, 2, 5020, 0.0, 293.5, u'FALSE', 1401974609.1953886)
(21, 19, 1, 5020, 0.0, 293.5, u'FALSE', 1401976409.1978772)
(21, 20, 0, 5020, 0.0, 293.5, u'FALSE', 1401978209.200392)
(21, 16, 2, 5020, 0.0, 290.1, u'FALSE', 1401980009.2029612)
(21, 17, 2, 5020, 0.0, 290.1, u'FALSE', 1401981809.2054152)
(21, 3, 14, 5020, 0.0, 290.3, u'FALSE', 1401983661.182647)
(21, 5, 15, 5020, 0.0, 290.3, u'FALSE', 1401985461.183882)
(21, 8, 12, 5020, 0.0, 290.3, u'FALSE', 1401987261.184937)
(21, 7, 13, 5020, 0.0, 281.0, u'FALSE', 1401989480.022571)
(21, 17, 3, 5020, 0.0, 281.0, u'FALSE', 1401991280.027236)
(21, 20, 0, 5020, 0.0, 281.0, u'FALSE', 1401993080.028491)
(21, 16, 4, 5020, 0.0, 281.0, u'FALSE', 1401994880.029556)
(21, 20, 0, 5020, 0.0, 281.0, u'FALSE', 1401996680.080712)
(21, 10, 10, 5020, 0.0, 281.0, u'FALSE', 1401998480.082115)
(21, 11, 9, 5020, 0.0, 281.6, u'FALSE', 1402000280.083411)
(21, 8, 12, 5020, 0.0, 281.6, u'FALSE', 1402002080.084723)
(21, 7, 12, 5020, 0.0, 281.6, u'FALSE', 1402003903.9891896)
(21, 3, 17, 5020, 0.0, 281.6, u'FALSE', 1402005703.9919798)
(21, 1, 19, 5020, 0.0, 281.6, u'FALSE', 1402007503.9944794)
(21, 1, 19, 5020, 0.0, 281.6, u'FALSE', 1402009303.9969902)
(21, 1, 19, 5020, 0.0, 281.9, u'FALSE', 1402011103.9992676)
(21, 2, 18, 5020, 0.0, 281.9, u'FALSE', 1402012904.001813)
(21, 2, 18, 5020, 0.0, 281.9, u'FALSE', 1402014704.0043592)
(21, 2, 18, 5020, 0.0, 281.9, u'FALSE', 1402016504.0067508)
(21, 2, 18, 5020, 0.0, 281.9, u'FALSE', 1402018304.009205)
